policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_processors_used,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
fcfs,58846.0,0.0,372652.5683470671,115771.43590261346,76307.39070511326,0.0,0.0,0.0,1.0,5551.0,0.0,0.0,0.0
random,58846.0,0.0,372652.56834706705,115624.54186273889,75776.91248322687,11.737698163190549,11.711666666666666,22.758541666666666,19.981475520033154,1133.0,-146.89403987457626,0.12688280034648877,11.737698163190549
carbon_aware,58846.0,0.0,372652.5683470671,109468.84044675335,70622.97540795403,11.54607245087932,11.722777777777777,22.00743055555556,19.973864377730496,15680.0,-6302.595455860108,5.4439986916650405,11.54607245087932
