week_index,week_start,fcfs_kg,carbon_aware_kg,saved_kg,reduction_pct
0,2020-05-04T00:00:00+00:00,876.1351912829139,759.5555439267041,116.57964735620976,13.306125414903564
1,2020-05-11T00:00:00+00:00,309.6909299458996,265.07978960889693,44.61114033700267,14.405052270919223
2,2020-05-18T00:00:00+00:00,1868.1634209491363,1810.8655586350778,57.29786231405842,3.067069062135247
3,2020-05-25T00:00:00+00:00,653.1205600213913,590.3985799901113,62.72198003127994,9.60343064827505
4,2020-06-01T00:00:00+00:00,10923.885832048698,10492.676520025045,431.2093120236532,3.947398559938839
5,2020-06-08T00:00:00+00:00,3005.9561667675625,2859.776861792308,146.17930497525458,4.862988575526956
6,2020-06-15T00:00:00+00:00,1092.2324159841137,1024.5314821029383,67.70093388117539,6.198399982496041
7,2020-06-22T00:00:00+00:00,4018.432776661465,3854.479260213199,163.95351644826633,4.080036311680689
8,2020-06-29T00:00:00+00:00,1015.4590940600214,922.1788294988769,93.28026456114446,9.186018925507884
9,2020-07-06T00:00:00+00:00,3601.584482876983,3385.9677245986986,215.61675827828458,5.986719437053096
