week_index,week_start,fcfs_kg,carbon_aware_kg,saved_kg,reduction_pct
0,2020-05-04T00:00:00+00:00,876.1351912829139,759.5410706372646,116.59412064564924,13.307777361952775
1,2020-05-11T00:00:00+00:00,309.6909299458996,265.0793998377296,44.61153010816997,14.405178129034399
2,2020-05-18T00:00:00+00:00,1868.1634209491365,1810.861278843794,57.302142105342455,3.0672981529758037
3,2020-05-25T00:00:00+00:00,653.1205600213913,590.3985799901114,62.72198003127983,9.603430648275033
4,2020-06-01T00:00:00+00:00,10923.885832048698,10492.66982970158,431.2160023471188,3.9474598048435228
5,2020-06-08T00:00:00+00:00,3005.9561667675625,2859.776861792308,146.17930497525458,4.862988575526956
6,2020-06-15T00:00:00+00:00,1092.2324159841137,1024.5311723775833,67.7012436065304,6.198428339588403
7,2020-06-22T00:00:00+00:00,4018.432776661465,3854.447233171172,163.98554349029337,4.080833314985386
8,2020-06-29T00:00:00+00:00,1015.4590940600214,922.1788294988768,93.28026456114458,9.186018925507895
9,2020-07-06T00:00:00+00:00,3601.584482876983,3385.9677245986986,215.61675827828458,5.986719437053096
