policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_processors_used,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
fcfs,12000.0,0.0,84836.3815281613,27364.660870598185,19237.746126149013,0.0,0.0,0.0,1.0,1452.0,0.0,0.0,0.0
random,12000.0,0.0,84836.3815281613,27078.906179838745,19012.700449497817,11.744624513888889,11.750138888888888,22.758444444444436,18.92442766620305,761.0,-285.75469075944056,1.0442471482132203,11.744624513888889
carbon_aware,12000.0,0.0,84836.38152816129,25965.45198044912,18107.17415079227,12.398186087962962,12.543888888888889,20.14638888888889,20.527509847239017,8175.0,-1399.2088901490642,5.113196530246194,12.398186087962962
