job_id,policy,submit_time,scheduled_start,scheduled_end,req_nodes,duration_h,wait_h,actual_energy_kwh,pred_energy_kwh,actual_emissions_kg,predicted_emissions_kg,avg_carbon_gco2_kwh,week_index,week_start
4591299,fcfs,2020-05-06 09:18:37+00:00,2020-05-06 09:00:00+00:00,2020-05-06 10:30:00+00:00,4,1.5,0.0,4.182535247524752,1.6227607736515282,0.8382165645099553,0.32521542084234434,200.40872698108558,0,2020-05-04T00:00:00+00:00
2152812,fcfs,2020-05-06 09:25:27+00:00,2020-05-06 09:00:00+00:00,2020-05-07 08:30:00+00:00,1,23.5,0.0,35.81251850838684,4.816490477311007,6.607216570988422,0.8886165235277863,184.49460820358377,0,2020-05-04T00:00:00+00:00
5022243,fcfs,2020-05-06 09:27:19+00:00,2020-05-06 09:00:00+00:00,2020-05-06 12:00:00+00:00,1,3.0,0.0,2.186708972907242,0.3608056488071926,0.4498105991313464,0.07421847491857428,205.7020868823347,0,2020-05-04T00:00:00+00:00
1872891,fcfs,2020-05-06 09:37:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.3058913333333337,1.7653217074829377,0.4503257067910796,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
702266,fcfs,2020-05-06 09:37:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.133965740740741,1.7653217074829377,0.4167497472996084,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
579748,fcfs,2020-05-06 09:37:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.5157646354166667,1.7653217074829377,0.4913126092227009,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
2507467,fcfs,2020-05-06 09:42:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,1.928432828282828,1.7653217074829377,0.3766104949708175,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
1888963,fcfs,2020-05-06 09:42:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.278710909090909,1.7653217074829377,0.4450175452220964,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
2592013,fcfs,2020-05-06 09:42:19+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.158153939393939,1.7653217074829377,0.421473546507769,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
4592733,fcfs,2020-05-06 09:47:20+00:00,2020-05-06 09:30:00+00:00,2020-05-06 10:00:00+00:00,16,0.5,0.0,2.108194898989898,1.7653217074829377,0.4117168681008852,0.34475594497625467,195.2935510365534,0,2020-05-04T00:00:00+00:00
